iter	RMSE
183	1.98419134
184	1.983297881
185	1.980616125
186	1.979995119
187	1.977550568
188	1.976587558
189	1.975297616
190	1.971707309
191	1.967563835
192	1.966716198
193	1.96646019
194	1.965937299
195	1.965727264
196	1.965219745
197	1.964590509
198	1.963129814
199	1.962225238
200	1.961721672
201	1.961248243
202	1.960770095
203	1.96018621
204	1.959861642
205	1.959407508
206	1.958897568
207	1.958689465
208	1.95814756
209	1.957739876
210	1.954113555
211	1.948008609
212	1.947513598
213	1.947271715
214	1.941815579
215	1.938618991
216	1.935667027
217	1.935292146
218	1.931932075
219	1.929042143
220	1.924854967
221	1.923286901
222	1.923084076
223	1.922888277
224	1.92270305
225	1.922235606
226	1.921882048
227	1.921709233
228	1.919054686
229	1.918228827
230	1.917827316
231	1.916160992
232	1.914149239
233	1.913653673
234	1.913348747
235	1.912775911
236	1.911715106
237	1.911608092
238	1.911039537
239	1.908147642
240	1.90798862
241	1.907047461
242	1.905121058
243	1.904811556
244	1.903540131
245	1.903167589
246	1.902991639
247	1.900675399
248	1.899820263
249	1.899328717
250	1.898459506
251	1.897815217
252	1.897535304
253	1.897398243
254	1.896050214
255	1.894920788
256	1.894588885
257	1.893463249
258	1.893146118
259	1.891041781
260	1.890807954
261	1.890520692
262	1.88962352
263	1.889050784
264	1.888438047
265	1.888289387
266	1.88761339
267	1.88731947
268	1.885505965
269	1.883149986
270	1.881812865
271	1.881669782
272	1.881221812
273	1.880250662
274	1.875308123
275	1.873246331
276	1.87261819
277	1.872394502
278	1.87213066
279	1.870220062
280	1.869826369
281	1.86859483
282	1.867965961
283	1.867658745
284	1.866616199
285	1.866338854
286	1.865964623
287	1.865604083
288	1.865030343
289	1.863592049
290	1.86269208
291	1.861653089
292	1.860955739
293	1.860271936
294	1.859638349
295	1.859134398
296	1.858625982
297	1.857312855
298	1.857098057
299	1.856461122
300	1.856119217
301	1.855007584
302	1.853275589
303	1.852717138
304	1.852509211
305	1.851793289
306	1.851342683
307	1.850491867
308	1.849985123
309	1.849611106
310	1.849248699
311	1.848850439
312	1.848541481
313	1.847453143
314	1.845674671
315	1.843570406
316	1.841813763
317	1.841634153
318	1.841353183
319	1.841054982
320	1.840617738
321	1.840069763
322	1.838675318
323	1.8373958
324	1.837085698
325	1.835303141
326	1.833766066
327	1.833603731
328	1.832181997
329	1.831960809
330	1.831471967
331	1.831123002
332	1.830910682
333	1.827549589
334	1.82733069
335	1.82714819
336	1.826544538
337	1.824569799
338	1.823538713
339	1.822554589
340	1.822108883
341	1.821786403
342	1.821574165
343	1.821355811
344	1.821054667
345	1.820497583
346	1.820262071
347	1.819063253
348	1.818536882
349	1.818292998
350	1.818141413
351	1.817632811
352	1.81743058
353	1.816766228
354	1.816497284
355	1.816427521
356	1.816173244
357	1.815918543
358	1.815644805
359	1.814661495
360	1.814273086
361	1.814226092
362	1.811906135
363	1.811263079
364	1.811112333
365	1.810118219
366	1.80992718
367	1.807383378
368	1.807082938
369	1.806932992
370	1.806728076
371	1.805629074
372	1.805428442
373	1.804585571
374	1.80415774
375	1.803946723
376	1.803743279
377	1.803304511
378	1.803225715
379	1.802924727
380	1.802721392
381	1.802523706
382	1.802370619
383	1.801461881
384	1.801144317
385	1.800364306
386	1.799961828
387	1.799784979
388	1.799612532
389	1.799439441
390	1.799201094
391	1.798203334
392	1.798065285
393	1.797349593
394	1.796803373
395	1.796570288
396	1.796403952
397	1.796240568
398	1.795716291
399	1.795477052
400	1.795195163
401	1.793112829
402	1.792976673
403	1.792239539
404	1.790992815
405	1.790841826
406	1.790710266
407	1.790258511
408	1.789400103
409	1.789191978
410	1.788403096
411	1.787981189
412	1.787636754
413	1.787424514
414	1.787036358
415	1.786600744
416	1.78591978
417	1.785711161
418	1.785345159
419	1.784042406
420	1.782548761
421	1.782008015
422	1.781859742
423	1.781446236
424	1.779817486
425	1.778459587
426	1.778231619
427	1.77790212
428	1.777554227
429	1.776867779
430	1.7765887
431	1.775945682
432	1.775801142
433	1.775530911
434	1.774674036
435	1.774307734
436	1.773954861
437	1.773734386
438	1.773535846
439	1.773006367
440	1.772926956
441	1.772631817
442	1.772596093
443	1.772025632
444	1.771967295
445	1.771885409
446	1.771315249
447	1.770974774
448	1.770731889
449	1.770621175
450	1.770272046
451	1.770015856
452	1.769657266
453	1.769308079
454	1.768320953
455	1.767958817
456	1.767852353
457	1.767726572
458	1.766914645
459	1.766608238
460	1.766362544
461	1.765306663
462	1.764350439
463	1.763698305
464	1.763480859
465	1.763366277
466	1.762218199
467	1.761126162
468	1.760830753
469	1.759863933
470	1.758758225
471	1.758294546
472	1.757433735
473	1.756430015
474	1.756313029
475	1.755992319
476	1.755128562
477	1.75478839
478	1.754688345
479	1.754168125
480	1.753922387
481	1.753796546
482	1.752512221
